Hostname;ServerFunction;IPServer;ServerStatus;SiteCode;OSName;aip_app_name;csc_status;ge_status_code;ge_status_label;ge_test_label
sabad19030-vs10;Application;10.128.78.86;Active;RMA1;SunOS;APC-RPDM;null;00;Not deployed by CSC;null
sabad19044;Application;10.128.78.147;Active;BAD1;AIX;Powermax;done;21;Deployed by CSC and GE test on going;null
sabad19053;Application;10.238.142.198;Active;BAD1;SunOS;Patent Atlas II;null;00;Not deployed by CSC;null
sabad19080;Application;10.128.78.67;Active;BAD1;linux;Video Service AT;done;20;Deployed by CSC but not testable (behind FW);null
sabad19161;Application;10.238.142.172;Active;BAD1;SunOS;EAI Base Platform;null;00;Not deployed by CSC;null
sabad19251;Application;10.238.101.21;Active;RMA1;SunOS;InfoSystem;null;00;Not deployed by CSC;null
sabad19260;Application;10.238.21.107;Active;BAD1;AIX;Powermax;done;11;Deployed by CSC and GE test OK;null
sabad19305;Application;10.238.220.65;Active;BAD1;AIX;AMON||AMON DOLLAR UNIVERSE;done;20;Deployed by CSC but not testable (behind FW);null
sabad19323;Application;10.238.220.75;Active;RMA1;AIX;AMON;done;10;Deployed by CSC but GE test KO;"netstat Ok; lsof Ko : no lsof found |; crontab Ok"
sabad19341;Application;10.238.220.81;Active;RMA1;AIX;PowerSales/Ferman;done;10;Deployed by CSC but GE test KO;"netstat Ok; lsof Ko : no lsof found |; crontab Ok"
sabad19404;Application;10.238.21.37;Active;BAD1;AIX;Powermax;done;21;Deployed by CSC and GE test on going;null
sabad19413;Application;10.238.21.44;Active;BAD1;AIX;PMX SAP EP;done;11;Deployed by CSC and GE test OK;null
sabad19602;Application;10.238.21.113;Active;BAD1;AIX;PW Solman;done;21;Deployed by CSC and GE test on going;null
sabad19788;Application;10.238.143.103;Active;BAD1;AIX;Enya;done;10;Deployed by CSC but GE test KO;"netstat Ok; lsof Ko : no lsof found |; crontab Ok"
sabad19797;Application;10.238.220.46;Active;BAD1;AIX;AMON;done;20;Deployed by CSC but not testable (behind FW);null
sabad19800;Application;10.128.78.48;Active;BAD1;AIX;CADDS License control CH||NUMECA Autogrid86-2 IGG;done;10;Deployed by CSC but GE test KO;"netstat Ok; lsof Ko : no lsof found |; crontab Ok"
sabad35037;Application;10.236.9.83;Active;BAD1;linux;Wind PLM;done;12;Deployed by CSC and GE test OK;null
sablq11621;Application;10.115.1.38;Active;BLQ1;linux;ClearCase;done;12;Deployed by CSC and GE test OK;null
sabor10025;Application;10.23.176.12;Active;BOR1;AIX;ELSA||DMA-GS Belfort;null;00;Not deployed by CSC;null
sacch10101;Application;10.17.36.40;Active;CCH1;linux;KTP Cash Flow Marché||THETYS;done;12;Deployed by CSC and GE test OK;null
sacch10287;Application;10.239.4.140;Active;CCH1;AIX;DELMIA V6;null;00;Not deployed by CSC;null
sacch10368;Application;10.239.25.140;Active;CCH1;SunOS;GEODE PDM||SOFIA;null;00;Not deployed by CSC;null
sacch10377;Application;10.239.4.174;Active;CCH1;AIX;DMA-GS Central offer;null;00;Not deployed by CSC;null
sacch10449;Application;10.239.25.234;Active;CCH1;linux;My IT Portal;done;12;Deployed by CSC and GE test OK;null
sacch10458;Application;10.239.25.231;Active;CCH1;linux;Subversion Grid||Subversion Grid;done;12;Deployed by CSC and GE test OK;null
sacch10467;Application;10.239.25.249;Active;CCH1;linux;New Electrical||BRMS;done;12;Deployed by CSC and GE test OK;null
sacch15057;Application;10.237.4.57;Active;CCH1;AIX;RAILSYS;null;00;Not deployed by CSC;null
sacch15084;Application;10.237.4.84;Active;CCH1;AIX;ALPS PeopleSoft & Global Directory;null;00;Not deployed by CSC;null
sacch15093;Application;10.237.4.93;Active;CCH1;AIX;Catia||Aralia SIMTREE;null;00;Not deployed by CSC;null
sacch15570;Application;10.239.8.4;Active;CCH1;linux;TEMPUS - GTA France||TEMPUS - GTA France;Password Prompt;01;CSC not able to deploy;null
sacch15624;Application;10.239.26.144;Active;CCH1;linux;GSI BW;done;20;Deployed by CSC but not testable (behind FW);null
sacch15651;Application;10.239.27.51;Active;CCH1;linux;CONFLUENCE||Subversion Grid||CROWD||JIRA;done;12;Deployed by CSC and GE test OK;null
sacch35046;Application;10.237.9.108;Active;CCH1;linux;GSI - SAP ECC 6;done;12;Deployed by CSC and GE test OK;null
sacch35055;Application;10.237.9.117;Active;CCH1;linux;ALISTA France||Alista;done;12;Deployed by CSC and GE test OK;null
sacch35073;Application;10.237.9.142;Active;CCH1;linux;GSI BO;done;12;Deployed by CSC and GE test OK;null
sacch35091;Application;10.237.9.165;Active;CCH1;linux;TEMPUS - GTA France||TEMPUS - GTA France;done;12;Deployed by CSC and GE test OK;null
sacrl1gla2;Application;10.79.2.56;Active;CRL1;linux;Exploitations Archives 3270;done;12;Deployed by CSC and GE test OK;null
salpt10067;Application;10.18.0.100;Active;CCH1;linux;;couldn't connect;01;CSC not able to deploy;null
salrh10027;Application;10.23.97.162;Active;LRH1;SunOS;DMA-GS La Rochelle Training;null;00;Not deployed by CSC;null
salrh10036;Application;10.23.97.187;Active;LRH1;linux;Test Tracer;done;12;Deployed by CSC and GE test OK;null
sante10006;Application;10.18.0.137;Active;CCH1;linux;Outils Calcul Mecanique;done;12;Deployed by CSC and GE test OK;null
sarei10005;Application;10.23.144.9;Active;REI1;AIX;DMA-GS Reichshoffen;null;00;Not deployed by CSC;null
sarma15011;Application;10.238.198.220;Active;RMA1;linux;;null;00;Not deployed by CSC;null
saroc13dc2;Application;10.163.0.55;Active;HNW1;AIX;DMA-GS Rochester;null;00;Not deployed by CSC;null
savbn10027;Application;10.23.208.49;Active;VBN1;linux;Software Quality;done;12;Deployed by CSC and GE test OK;null
sbbad16158;Application;10.236.4.158;Active;BAD1;AIX;DIP Global (Basware);null;00;Not deployed by CSC;null
sbbad19119;Application;10.238.143.119;Active;BAD1;AIX;PIMS Support||Transport Archiving - Open Text solution;null;00;Not deployed by CSC;null
sbbad19128;Application;10.238.132.128;Active;RMA1;AIX;APC-RPDM;null;00;Not deployed by CSC;null
sbbad19137;Application;10.238.132.39;Active;BAD1;AIX;APC-RPDM;null;00;Not deployed by CSC;null
sbbad19164;Application;10.238.143.114;Active;RMA1;AIX;PMS||PMS||PMS||ALISTA Le Creusot, Madrid, London||Alista||BOXI Platform (Power)||ALISTA Tarbes, Charleroi, Nola||APC-RPDM||CROWD||PDMOne||PCDMS||ALISTA Valenciennes, Bucarest, Atagora, La Rochelle;null;00;Not deployed by CSC;null
sbbad19173;Application;10.238.143.201;Active;RMA1;AIX;PowerSales/Ferman;null;00;Not deployed by CSC;null
sbbad19182;Application;10.238.217.182;Active;RMA1;linux;New PLM;done;20;Deployed by CSC but not testable (behind FW);ssh : time-out
sbbad19191;Application;10.238.197.7;Active;BAD1;linux;DELMIA V6;null;00;Not deployed by CSC;null
sbcch10199;Application;10.239.4.205;Active;CCH1;AIX;ELSA||ILS Solutions||GESDOC||SOFIA||SOFIA||ADEL WP||CLAMP||E3Séries||GEODE PDM;null;00;Not deployed by CSC;null
sbcch15068;Application;10.237.4.68;Active;CCH1;AIX;IMAGINE 1;null;00;Not deployed by CSC;null
sbcch15077;Application;10.237.4.77;Active;CCH1;AIX;Mis Marques AT||DSTT||TDM Belfort;null;00;Not deployed by CSC;null
sbspm10001;Application;10.155.24.80;Active;SPM1;linux;Soldaduras||TwistInfo||Conproy Spain||Artemis Barcelona ||CDP - Captura de Datos en Planta||Control de Presencia / Incentivos||Itemsasoft||Quality BCN||GSI Bajas IT Sugerencias;done;12;Deployed by CSC and GE test OK;null
ssmprod;Application;10.238.21.67;Active;BAD1;AIX;PW Solman;null;00;Not deployed by CSC;null
sumlm10005;Application;10.123.134.14;Active;MLM1;linux;PowerPLM;done;12;Deployed by CSC and GE test OK;null
suric1tcet;Application;10.164.24.131;Active;RIC1;HP-UX;Teamcenter Richmond;null;00;Not deployed by CSC;null
suwin1webs;Application;10.160.48.24;Active;WND1;linux;SupplierNet;asking password;01;CSC not able to deploy;null
sycomore;Application;10.18.146.210;Active;GNB1;linux;Moyens de calculs HYDRO CT||HPC - Grenoble Sycomore;done;12;Deployed by CSC and GE test OK;null
valencia;Application;10.79.3.32;Active;CRL1;SunOS;TEAMWORK||DDTS;null;00;Not deployed by CSC;null
acectra6;Application;10.79.2.36;Active;CRL1;HP-UX;SAP R3 40B (FI-CO+GPAO) Charleroi;null;00;Not deployed by CSC;null
curie;Application;10.255.150.125;Active;CCH1;AIX;ISIS  - SAP SRM||Supplier Relationship Management SAP;done;11;Deployed by CSC and GE test OK;null
edison;Application;10.255.250.106;Active;GUC1;AIX;Alt@is (GRID Global ERP);done;11;Deployed by CSC and GE test OK;null
grw08a;Application;10.34.32.203;Active;RUG1;SunOS;Naval Eng Purch App (EPA);null;00;Not deployed by CSC;null
hrkabirt;Application;10.218.10.63;Active;KAR1;linux;Baan - Karlovac - HR;asking password;01;CSC not able to deploy;null
lic105;Application;10.238.146.105;Active;BAD1;linux;HPC - BIG-Cluster;null;00;Not deployed by CSC;null
lic114;Application;10.238.146.114;Active;BAD1;linux;HPC - BIG-Cluster;null;00;Not deployed by CSC;null
lic123;Application;10.238.146.123;Active;BAD1;linux;HPC - BIG-Cluster;null;00;Not deployed by CSC;null
lic132;Application;10.238.146.132;Active;BAD1;linux;HPC - BIG-Cluster;null;00;Not deployed by CSC;null
lic141;Application;10.238.146.147;Active;BAD1;linux;HPC - BIG-Cluster;null;00;Not deployed by CSC;null
lic150;Application;10.238.146.156;Active;BAD1;linux;HPC - BIG-Cluster;null;00;Not deployed by CSC;null
orgrugs09;Application;10.34.114.253;Active;RUG1;SunOS;HMS CAPP (Unmaintained app)||TDM UK||Secure Image Viewing System||Thermal New IS Application Register||Thermal Service Strategy System||Oracle ApEx||On-Track / AES Training Database||Materials Release Properties Database||SQEP Database||MEWS||ST Projects Change Management||TSS Project Portfolio Primavera Interface||P&EP Stakeholder Contact Management||Naval Eng Purch App (EPA)||Oracle Apps (DTMS and BTMS)||SWIFT Factory instructions||TSNE Project Portfolio||RM Stores Costing Extension||TSNE Project Categorisation||Engineering Design Review Management||TSST Project Portfolio||Integrated Drawing Registers                        ;null;00;Not deployed by CSC;null
sabad10576;Application;10.238.15.102;Active;BAD1;linux;Ulysse;done;20;Deployed by CSC but not testable (behind FW);null
sabad10774;Application;10.238.125.89;Active;BAD1;linux;HPC - Plateform;done;12;Deployed by CSC and GE test OK;null
sabad10954;Application;10.238.14.56;Active;RMA1;linux;PMS;done;12;Deployed by CSC and GE test OK;null
sabad10963;Application;10.238.126.184;Active;BAD1;linux;Baan - PL - HR||Triton||BAAN PL;done;12;Deployed by CSC and GE test OK;null
sabad10972;Application;10.238.15.175;Active;BAD1;linux;e-Temptation Thermal Systems Belfort||e-Temptation Thermal Service France||e-Temptation Renewable France||e-Temptation Thermal PAC Ludres;done;20;Deployed by CSC but not testable (behind FW);null
sabad11188;Application;10.238.196.88;Active;BAD1;linux;STITS (Steam Turbine Integrated Tools Suite);done;12;Deployed by CSC and GE test OK;null
sabad11197;Application;10.238.196.114;Active;RMA1;linux;APC VPDM;done;12;Deployed by CSC and GE test OK;null
sabad11278;Application;10.238.14.88;Active;BAD1;linux;MAX3000;done;12;Deployed by CSC and GE test OK;null
sabad11359;Application;10.238.41.84;Active;BAD1;linux;e-Project (TPPR);done;20;Deployed by CSC but not testable (behind FW);null
sabad11368;Application;10.238.196.170;Active;BAD1;linux;APC VPDM;done;12;Deployed by CSC and GE test OK;null
sabad11377;Application;10.238.219.126;Active;BAD1;linux;APC VPDM;done;12;Deployed by CSC and GE test OK;null
sabad11395;Application;10.238.196.159;Active;RMA1;linux;APC VPDM;done;12;Deployed by CSC and GE test OK;null
sabad11467;Application;10.238.198.23;Active;BAD1;linux;PKI;done;12;Deployed by CSC and GE test OK;null
sabad11494;Application;10.238.198.40;Active;BAD1;linux;New PLM;null;00;Not deployed by CSC;null
sabad16147;Application;10.236.4.147;Active;RMA1;AIX;PMX SAP EP;done;11;Deployed by CSC and GE test OK;null
sabad18109;Application;10.238.168.19;Active;BAD1;linux;HPC - TGN Green ex TARRA;null;00;Not deployed by CSC;null
sabad18118;Application;10.238.168.28;Active;BAD1;linux;HPC - TGN Green ex TARRA;null;00;Not deployed by CSC;null
sabad18127;Application;10.238.168.37;Active;BAD1;linux;HPC - TGN Green ex TARRA;null;00;Not deployed by CSC;null
sabad18136;Application;10.238.168.46;Active;BAD1;linux;HPC - TGN Green ex TARRA;null;00;Not deployed by CSC;null
sabad18145;Application;10.238.168.55;Active;BAD1;linux;HPC - TGN Green ex TARRA;null;00;Not deployed by CSC;null
sabad18154;Application;10.238.168.64;Active;BAD1;linux;HPC - TGN Green ex TARRA;null;00;Not deployed by CSC;null
sabad18208;Application;10.238.164.18;Active;BAD1;linux;HPC - TGN Green;done;12;Deployed by CSC and GE test OK;null
sabad18217;Application;10.238.164.27;Active;BAD1;linux;HPC - TGN Green;done;12;Deployed by CSC and GE test OK;null
sabad18226;Application;10.238.164.36;Active;BAD1;linux;HPC - TGN Green;done;12;Deployed by CSC and GE test OK;null
sabad18235;Application;10.238.164.45;Active;BAD1;linux;HPC - TGN Green;done;12;Deployed by CSC and GE test OK;null
sabad18244;Application;10.238.164.54;Active;BAD1;linux;HPC - TGN Green Extension;done;12;Deployed by CSC and GE test OK;null
sabad18253;Application;10.238.164.63;Active;BAD1;linux;HPC - TGN Green Extension;done;12;Deployed by CSC and GE test OK;null
sabad18307;Application;10.238.168.207;Active;BAD1;linux;HPC - TGN Green ex TARRA;null;00;Not deployed by CSC;null
sabad18406;Application;10.238.199.22;Active;BAD1;linux;HPC - Plant-HPC new;done;12;Deployed by CSC and GE test OK;null
sabad18415;Application;10.238.199.31;Active;BAD1;linux;HPC - Plant-HPC new;done;12;Deployed by CSC and GE test OK;null
sabad18424;Application;10.238.199.40;Active;BAD1;linux;HPC - Plant-HPC new;done;12;Deployed by CSC and GE test OK;null
sabad18433;Application;10.238.199.49;Active;BAD1;linux;HPC - Plant-HPC new;done;12;Deployed by CSC and GE test OK;null
sabad18442;Application;10.238.199.58;Active;BAD1;linux;HPC - Plant-HPC new;done;12;Deployed by CSC and GE test OK;null
sabad19018;Application;10.128.72.201;Active;BAD1;AIX;;done;10;Deployed by CSC but GE test KO;"netstat Ok; lsof Ko : no lsof found |; crontab Ko : crontab: 0481-109 You are not authorized to use the cron command."
sabad19027;Application;10.128.78.49;Active;BAD1;AIX;PowerSales/Ferman;done;10;Deployed by CSC but GE test KO;"netstat Ok; lsof Ko : no lsof found |; crontab Ko : crontab: 0481-109 You are not authorized to use the cron command."
sabad19031-vs10;Application;10.128.78.84;Active;BAD1;SunOS;APC-RPDM;null;00;Not deployed by CSC;null
sabad19040-vs11;Application;10.128.78.51;Active;RMA1;SunOS;APC-RPDM;null;00;Not deployed by CSC;null
sabad19041-vs10;Application;10.128.78.85;Active;BAD1;SunOS;APC-RPDM;null;00;Not deployed by CSC;null
sabad19045;Application;10.128.78.127;Active;BAD1;AIX;SAP CH;done;10;Deployed by CSC but GE test KO;"netstat Ok; lsof Ko : no lsof found |; crontab Ok"
sabad19054;Application;10.238.142.199;Active;BAD1;SunOS;Patent Atlas II;null;00;Not deployed by CSC;null
sabad19126;Application;10.238.142.177;Active;RMA1;SunOS;MDM Platform;null;00;Not deployed by CSC;null
sabad19162;Application;10.238.142.173;Active;RMA1;SunOS;EAI Base Platform||EAI Base Platform||EAI Base Platform||EAI Base Platform||EAI Base Platform||EAI Base Platform||EAI Base Platform||EAI Base Platform||EAI Base Platform||EAI Base Platform||EAI Base Platform||EAI Base Platform||EAI Base Platform||EAI Base Platform||EAI Base Platform||EAI Base Platform||EAI Base Platform||EAI Base Platform;null;00;Not deployed by CSC;null
sabad19261;Application;10.238.21.108;Active;BAD1;AIX;PMX SAP EP;done;10;Deployed by CSC but GE test KO;ssh : password
sabad19270;Application;10.238.142.222;Active;BAD1;SunOS;POSEIDON;null;00;Not deployed by CSC;null
sabad19324;Application;10.238.220.76;Active;RMA1;AIX;AMON||AMON DOLLAR UNIVERSE;done;10;Deployed by CSC but GE test KO;"netstat Ok; lsof Ko : no lsof found |; crontab Ok"
sabad19342;Application;10.238.220.82;Active;RMA1;AIX;PowerSales/Ferman;done;10;Deployed by CSC but GE test KO;"netstat Ok; lsof Ko : no lsof found |; crontab Ok"
sabad19351;Application;10.238.21.75;Active;BAD1;AIX;Powermax;done;11;Deployed by CSC and GE test OK;null
sabad19405;Application;10.238.21.34;Active;RMA1;AIX;BI4 Platform (Power)||Power max (PMX) datawarehouse (BW);done;21;Deployed by CSC and GE test on going;null
sabad19423;Application;10.238.21.53;Active;RMA1;AIX;Powermax;done;10;Deployed by CSC but GE test KO;"netstat Ko : ksh: sudo:  not found. |; lsof Ko : no lsof found |; crontab Ok"
sabad19603;Application;10.238.21.114;Active;BAD1;AIX;PMX SAP PO;done;21;Deployed by CSC and GE test on going;null
sabad19702;Application;10.128.78.164;Active;BAD1;AIX;SAP-BW for SAP-CH;done;10;Deployed by CSC but GE test KO;"netstat Ok; lsof Ko : Password: |; crontab Ok"
sabad19798;Application;10.238.220.47;Active;BAD1;AIX;APIS;done;20;Deployed by CSC but not testable (behind FW);null
sabad790;Application;10.238.220.42;Active;BAD1;AIX;APIS;done;10;Deployed by CSC but GE test KO;"netstat Ok; lsof Ko : no lsof found |; crontab Ok"
sacch10378;Application;10.239.4.175;Active;CCH1;AIX;DMA-GS Central offer;null;00;Not deployed by CSC;null
sacch10468;Application;10.239.25.163;Active;CCH1;linux;BRMS;done;12;Deployed by CSC and GE test OK;null
sacch15058;Application;10.237.4.58;Active;CCH1;AIX;RAILSYS;null;00;Not deployed by CSC;null
sacch15085;Application;10.237.4.85;Active;CCH1;AIX;ALPS PeopleSoft & Global Directory;null;00;Not deployed by CSC;null
sacch15094;Application;10.237.4.94;Active;CCH1;AIX;Aralia SIMTREE||Catia;null;00;Not deployed by CSC;null
sacch15553;Application;10.239.26.159;Active;CCH1;linux;THETYS;done;12;Deployed by CSC and GE test OK;null
sacch15616;Application;10.239.4.208;Active;CCH1;linux;ADEL e-TRS||ADEL WP;done;12;Deployed by CSC and GE test OK;null
sacch15652;Application;10.239.27.50;Active;CCH1;linux;Subversion Grid;done;12;Deployed by CSC and GE test OK;null
sacch15670;Application;10.239.27.70;Active;CCH1;linux;IMAGINE 2.0;done;12;Deployed by CSC and GE test OK;null
sacch15706;Application;10.239.27.106;Active;CCH1;linux;IMAGINE 2.0;done;12;Deployed by CSC and GE test OK;null
sacch35056;Application;10.237.9.118;Active;CCH1;linux;ALISTA France||Alista;done;12;Deployed by CSC and GE test OK;null
sacch35065;Application;10.237.9.131;Active;CCH1;linux;TEMPUS - GTA France||TEMPUS - GTA France;done;12;Deployed by CSC and GE test OK;null
salrh10028;Application;10.23.97.163;Active;LRH1;SunOS;DMA-GS La Rochelle VHST;null;00;Not deployed by CSC;null
sante10007;Application;10.18.208.45;Active;NTE1;linux;HyLife;done;12;Deployed by CSC and GE test OK;null
saptf10020;Application;10.22.97.101;Active;PTF1;linux;ClearCase;done;12;Deployed by CSC and GE test OK;null
sarma15012;Application;10.238.198.221;Active;RMA1;linux;3DExperience R2015x;null;00;Not deployed by CSC;null
sarma15021;Application;10.236.4.30;Active;RMA1;AIX;DELMIA V6;null;00;Not deployed by CSC;null
saroc1hmc1;Application;10.163.0.50;Active;HNW1;AIX;;null;00;Not deployed by CSC;null
sartre;Application;10.255.250.28;Active;GUC1;AIX;;null;00;Not deployed by CSC;null
sasao10324;Application;10.81.129.176;Active;HTL1;linux;Wind PLM;done;12;Deployed by CSC and GE test OK;null
sasav10020;Application;10.115.32.171;Active;SAV1;SunOS;DMA-GS Savigliano;null;00;Not deployed by CSC;null
sautc10011;Application;10.192.16.80;Active;UTC1;linux;ClearCase;password prompt;01;CSC not able to deploy;null
savbn10019;Application;10.23.208.33;Active;VBN1;linux;IAO Linux;done;12;Deployed by CSC and GE test OK;null
savbn10037;Application;10.23.208.177;Active;VBN1;SunOS;IAO Solaris;null;00;Not deployed by CSC;null
sbbad16159;Application;10.236.4.159;Active;BAD1;AIX;DIP Global (Basware)||DIP Global (Basware);null;00;Not deployed by CSC;null
sbbad19138;Application;10.238.132.40;Active;BAD1;AIX;APC-RPDM;null;00;Not deployed by CSC;null
sbbad19174;Application;10.238.143.202;Active;RMA1;AIX;PowerSales/Ferman||PowerSales/Ferman||PowerSales/Ferman;null;00;Not deployed by CSC;null
sbbad19183;Application;10.238.217.114;Active;RMA1;linux;New PLM;done;20;Deployed by CSC but not testable (behind FW);ssh : time-out
sbbad19192;Application;10.238.197.81;Active;BAD1;linux;New PLM;done;20;Deployed by CSC but not testable (behind FW);null
sbcch15078;Application;10.237.4.78;Active;CCH1;AIX;Infra Easy Archive||BO BI4 Platform (Common)||DataStage 9.1 Platform (Common)||TDM Belfort;null;00;Not deployed by CSC;null
sbcch15087;Application;10.237.4.87;Active;CCH1;AIX;KTP Cash Flow Marché;null;00;Not deployed by CSC;null
sbspm10002;Application;10.155.24.81;Active;SPM1;linux;Soldaduras||TwistInfo||Conproy Spain||Artemis Barcelona ||CDP - Captura de Datos en Planta||Control de Presencia / Incentivos||Itemsasoft||Quality BCN||GSI Bajas IT Sugerencias;done;12;Deployed by CSC and GE test OK;null
