Hostname;ServerFunction;Type;SubFunction;IPServer;InSID;ServerStatus;SiteCode;AdministratedBy;OSName;ToCollectInit;ToCollectLast
null;Application;null;null;10.22.111.40;null;Active;null;null;null;false;false
null;Application;null;null;10.177.223.20;null;Active;null;null;null;false;false
null;Application;null;null;10.128.30.153;null;Active;null;null;null;false;false
null;Application;null;null;10.238.82.154;null;Active;null;null;null;false;false
null;Utility;null;null;10.238.142.184;null;Active;null;null;null;false;false
null;Application;null;null;10.197.128.91;null;Active;null;null;null;false;false
null;Application;null;null;10.144.30.65;null;Active;null;null;null;false;false
null;Application;null;null;10.123.5.13;null;Active;null;null;null;false;false
null;Application;null;null;10.50.59.13;null;Active;null;null;null;false;false
null;Application;null;null;10.50.49.39;null;Active;null;null;null;false;false
null;Application;null;null;10.123.134.21;null;Active;null;null;null;false;false
null;Application;null;null;10.160.5.90;null;Active;null;null;null;false;false
null;Application;null;null;10.163.64.51;null;Active;null;null;null;false;false
null;Application;null;null;10.39.0.24;null;Active;null;null;null;false;false
null;Application;null;null;10.189.116.14;null;Active;null;null;null;false;false
null;Application;null;null;10.205.132.128;null;Active;null;null;null;false;false
null;Application;null;null;10.197.64.136;null;Active;null;null;null;false;false
null;Application;null;null;10.23.5.6;null;Active;null;null;null;false;false
null;Application;null;null;10.238.126.45;null;Active;null;null;null;false;false
sncch10547;Infrastructure;Physical;Not applicable;10.239.26.169;Yes;Active;CCH1;CSC;linux;true;false
null;Application;null;null;10.18.146.236;null;Active;null;null;null;false;false
null;Infrastructure;null;null;10.50.155.150;null;Active;null;null;null;false;false
null;Infrastructure;null;null;10.50.56.159;null;Active;null;null;null;false;false
null;Infrastructure;null;null;10.239.26.196;null;Active;null;null;null;false;false
null;Utility;null;null;10.238.141.83;null;Active;null;null;null;false;false
null;Utility;null;null;10.239.4.104;null;Active;null;null;null;false;false
null;Application;null;null;10.79.2.39;null;Active;null;null;null;false;false
null;Utility;null;null;10.18.104.15;null;Active;null;null;null;false;false
null;Utility;null;null;10.53.196.41;null;Active;null;null;null;false;false
null;Utility;null;null;10.155.66.91;null;Active;null;null;null;false;false
null;Infrastructure;null;null;10.99.142.42;null;Active;null;null;null;false;false
null;Infrastructure;null;null;10.99.200.164;null;Active;null;null;null;false;false
null;Application;null;null;10.199.100.12;null;Active;null;null;null;false;false
null;Infrastructure;null;null;10.205.33.29;null;Active;null;null;null;false;false
null;Application;null;null;10.54.4.49;null;Active;null;null;null;false;false
null;Application;null;null;10.239.25.79;null;Active;null;null;null;false;false
null;Application;null;null;10.50.56.74;null;Active;null;null;null;false;false
ssroc1nim1;Application;Virtual;Not applicable;10.163.0.53;Yes;Active;HNW1;CSC;AIX;true;true
null;Infrastructure;null;null;10.81.129.21;null;Active;null;null;null;false;false
null;Application;null;null;10.115.0.7;null;Active;null;null;null;false;false
null;Utility;null;null;10.128.72.14;null;Active;null;null;null;false;false
null;Utility;null;null;10.128.72.13;null;Active;null;null;null;false;false
null;Utility;null;null;10.238.141.101;null;Active;null;null;null;false;false
null;Utility;null;null;10.128.73.29;null;Active;null;null;null;false;false
null;Application;null;null;10.238.125.137;null;Active;null;null;null;false;false
null;Utility;null;null;10.238.125.121;null;Active;null;null;null;false;false
null;Utility;null;null;10.238.125.129;null;Active;null;null;null;false;false
null;Application;null;null;10.238.127.180;null;Active;null;null;null;false;false
null;Utility;null;null;10.239.26.13;null;Active;null;null;null;false;false
null;Utility;null;null;10.18.0.112;null;Active;null;null;null;false;false
null;Utility;null;null;10.235.194.251;null;Active;null;null;null;false;false
null;Utility;null;null;10.23.4.213;null;Active;null;null;null;false;false
null;Utility;null;null;10.18.1.105;null;Active;null;null;null;false;false
null;Application;null;null;10.23.4.226;null;Active;null;null;null;false;false
null;Infrastructure;null;null;10.239.8.13;null;Active;null;null;null;false;false
null;Utility;null;null;10.235.194.224;null;Active;null;null;null;false;false
null;Utility;null;null;10.79.2.141;null;Active;null;null;null;false;false
null;Utility;null;null;10.18.1.209;null;Active;null;null;null;false;false
null;Utility;null;null;10.50.56.156;null;Active;null;null;null;false;false
null;Application;null;null;10.226.5.60;null;Active;null;null;null;false;false
null;Infrastructure;null;null;10.238.198.125;null;Active;null;null;null;false;false
null;Application;null;null;10.238.198.131;null;Active;null;null;null;false;false
null;Application;null;null;10.238.198.164;null;Active;null;null;null;false;false
null;;null;null;10.34.15.23;null;Inbuild;null;null;null;false;false
null;Utility;null;null;10.164.119.153;null;Active;null;null;null;false;false
suelb10018-3;Application;Virtual;Database Server;10.197.128.145;Yes;Active;ELB1;CSC;AIX;true;true
null;Application;null;null;10.53.49.131;null;Active;null;null;null;false;false
null;Application;null;null;10.50.58.116;null;Active;null;null;null;false;false
suric1tcep;Application;Physical;Database Server;10.164.24.130;Yes;Active;RIC1;CSC;HP-UX;true;true
null;Infrastructure;null;null;10.83.33.12;null;Active;null;null;null;false;false
null;Application;null;null;10.54.1.63;null;Active;null;null;null;false;false
null;Application;null;null;10.54.1.76;null;Active;null;null;null;false;false
sushah10002;Application;Virtual;Infosec Services;10.236.137.43;Yes;Active;SHAH;CSC;linux;true;true
suwin1wbsp;Application;Virtual;Web Server;10.164.119.41;Yes;Active;WND1;CSC;linux;true;true
suwnd10003;Application;Virtual;Web Server;10.164.119.136;Yes;Active;WND1;CSC;linux;true;true
suwro10022;Application;Physical;Not applicable;10.197.64.176;Yes;Active;WRO1;CSC;linux;true;true
null;Infrastructure;null;null;10.249.224.41;null;Active;null;null;null;false;false
null;Infrastructure;null;null;10.238.7.67;null;Active;null;null;null;false;false
null;Infrastructure;null;null;10.238.48.20;null;Active;null;null;null;false;false
null;Infrastructure;null;null;10.53.168.90;null;Active;null;null;null;false;false
null;Infrastructure;null;null;10.129.204.116;null;Active;null;null;null;false;false
null;Infrastructure;null;null;10.129.204.126;null;Active;null;null;null;false;false
null;Infrastructure;null;null;10.115.1.85;null;Active;null;null;null;false;false
null;Infrastructure;null;null;10.104.132.32;null;Active;null;null;null;false;false
null;Infrastructure;null;null;10.199.114.21;null;Active;null;null;null;false;false
null;Infrastructure;null;null;10.17.37.70;null;Active;null;null;null;false;false
null;Infrastructure;null;null;10.239.4.233;null;Active;null;null;null;false;false
null;Infrastructure;null;null;10.237.59.112;null;Active;null;null;null;false;false
null;Infrastructure;null;null;10.237.59.135;null;Active;null;null;null;false;false
null;Infrastructure;null;null;10.38.16.25;null;Active;null;null;null;false;false
null;Infrastructure;null;null;10.247.24.33;null;Active;null;null;null;false;false
null;Infrastructure;null;null;10.247.25.23;null;Active;null;null;null;false;false
null;Application;null;null;10.197.128.55;null;Active;null;null;null;false;false
null;Infrastructure;null;null;10.197.128.7;null;Active;null;null;null;false;false
null;Infrastructure;null;null;10.38.224.23;null;Active;null;null;null;false;false
null;Infrastructure;null;null;10.255.192.198;null;Active;null;null;null;false;false
null;Infrastructure;null;null;10.237.137.50;null;Active;null;null;null;false;false
null;Infrastructure;null;null;10.189.112.106;null;Active;null;null;null;false;false
null;Infrastructure;null;null;10.18.225.42;null;Active;null;null;null;false;false
null;Infrastructure;null;null;10.23.97.185;null;Active;null;null;null;false;false
null;Infrastructure;null;null;10.123.30.11;null;Active;null;null;null;false;false
null;Infrastructure;null;null;10.208.7.71;null;Active;null;null;null;false;false
null;Infrastructure;null;null;10.38.42.23;null;Active;null;null;null;false;false
null;Infrastructure;null;null;10.139.16.25;null;Active;null;null;null;false;false
null;Infrastructure;null;null;10.123.139.9;null;Active;null;null;null;false;false
null;Infrastructure;null;null;10.235.187.52;null;Active;null;null;null;false;false
null;Infrastructure;null;null;10.192.67.140;null;Active;null;null;null;false;false
null;Infrastructure;null;null;10.1.71.16;null;Active;null;null;null;false;false
null;Infrastructure;null;null;10.39.0.207;null;Active;null;null;null;false;false
null;Infrastructure;null;null;10.83.153.150;null;Active;null;null;null;false;false
null;Infrastructure;null;null;10.3.37.82;null;;null;null;null;false;false
null;Infrastructure;null;null;10.39.1.39;null;Active;null;null;null;false;false
null;Infrastructure;null;null;10.83.132.19;null;Active;null;null;null;false;false
null;Infrastructure;null;null;10.177.214.23;null;Active;null;null;null;false;false
null;Infrastructure;null;null;10.176.132.76;null;Active;null;null;null;false;false
null;Infrastructure;null;null;10.236.137.72;null;Active;null;null;null;false;false
null;Infrastructure;null;null;10.155.24.44;null;Active;null;null;null;false;false
null;Infrastructure;null;null;10.50.185.12;null;Active;null;null;null;false;false
null;Infrastructure;null;null;10.224.1.40;null;Active;null;null;null;false;false
