Site code;Site name;Country code;Scenario today
COB2;Lucito (Office) (COB2);IT;ENERGY
COI1;Cocoa (FL) (COI1);US;ENERGY
COT1;Cornella de Llobregat (COT1);ES;ENERGY
COY1;Coryton (COY1);GB;ENERGY
CPH1;Copenhagen (CPH1);DK;STAY
CPT1;Cape Town (CPT1);ZA;TBD - To be defined
CQY1;Connah's Quay (CQY1);GB;ENERGY
CQZ1;Montpellier (CQZ1);FR;ENERGY
CRE1;Creys-Malville (C. Nucleaire) (CRE1);FR;ENERGY
CRE5;Crewe (CRE5);GB;STAY
CRL1;Charleroi (CRL1);BE;STAY
CRT1;Carrington (CRT1);GB;ENERGY
CRU1;Cruas (C. Nucleaire) (CRU1);FR;ENERGY
CRU2;Cabreuva (CRU2);BR;STAY
CRV2;Melissa (CRV2);IT;ENERGY
CRW1;Chorzow (CRW1);PL;STAY
CST1;Castejon (CST1);ES;ENERGY
CTU1;Chengdu (CTU1);CN;STAY
CUA1;Churra (CUA1);ES;STAY
CUE1;Cuenca (CUE1);EC;STAY
CXQ1;Madrid (Coslada) (CXQ1);ES;ENERGY
CXY1;Cordemais (CXY1);FR;ENERGY
CZL1;Constantine (tramway) (CZL1);DZ;STAY
DAM1;Dampierre (C. Nucleaire) (DAM1);FR;ENERGY
DAM2;Damascus (DAM2);SY;ENERGY
DAR1;Dartmouth (DAR1);CA;ENERGY
DAT2;Datong (Hudong) (DAT2);CN;STAY
DAT4;Datong (Hudong BTE Office) (DAT4);CN;STAY
DBE1;Eggborough (DBE1);GB;ENERGY
DEL2;Delhi (Karnal Rd) (DEL2);IN;STAY
DEN2;Denver (Rocky Mountain) (CO) (DEN2);US;ENERGY
DEY1;Deyang (DEY1);CN;ENERGY
DGA1;Gurgaon (Accenture) (DGA1);IN;ENERGY
DHS1;Darlington (DHS1);CA;ENERGY
DOH1;Doha (Office) (DOH1);QA;MOVE AT
DOH3;Doha (Lusail LRT) (DOH3);QA;STAY
DON1;Doncaster (DON1);GB;STAY
DRS1;Dresden (DRS1);DE;ENERGY
DTM1;Dortmund (DTM1);DE;ENERGY
DTU1;Daito (DTU1);JP;ENERGY
DUB1;Dublin (DUB1);IE;MOVE AT
DUB2;Dublin (Sandyford) (DUB2);IE;STAY
DUB3;Dublin (Redcow) (DUB3);IE;STAY
DUC1;Duchcov (Ledvice) (DUC1);CZ;ENERGY
DUR1;Durgapur (DUR1);IN;ENERGY
DUS1;Duesseldorf (DUS1);DE;ENERGY
DVI1;Danville (IL) (DVI1);US;ENERGY
DWL1;Dattwil (DWL1);CH;ENERGY
DXB4;Dubai (Jumeirah) (DXB4);AE;STAY
DXBF;Dubai (Burlington) (DXBF);AE;STAY
DXY2;Derby (Pride Park) (DXY2);GB;ENERGY
DXY3;Derby (Ratcliffe) (DXY3);GB;ENERGY
DYU1;Dushanbe (DYU1);TJ;ENERGY
ECH1;Mechelen (ECH1);BE;ENERGY
EDI1;Edinburgh (EDI1);GB;ENERGY
EDM1;Edmonton (EDM1);CA;ENERGY
EEM1;Eemshaven (EEM1);NL;ENERGY
EKA1;Ekaterinburg (EKA1);RU;ENERGY
EKB1;Whitelee (EKB1);GB;ENERGY
ELB1;Elblag (ELB1);PL;ENERGY
